depart,arrival,duration,routeLength,waitingTime,timeLoss,vType,rerouteNo,departSpeed,arrivalSpeed
44.0,82.0,38.0,410.67,0.0,5.14,veh_passenger,1,0.0,12.43
13.0,133.0,120.0,1213.41,1.0,17.95,veh_passenger,1,0.0,8.79
16.0,136.0,120.0,1049.33,0.0,13.66,veh_passenger,1,7.3,11.87
7.0,148.0,141.0,1815.08,0.0,17.99,veh_passenger,1,0.0,13.87
25.0,157.0,132.0,967.77,20.0,40.31,veh_passenger,1,0.0,7.74
120.0,158.0,38.0,407.79,0.0,5.91,veh_passenger,0,0.0,12.87
47.0,161.0,114.0,1079.46,22.0,39.56,veh_passenger,1,11.21,8.64
100.0,172.0,72.0,541.87,0.0,8.02,DEFAULT_VEHTYPE,1,0.0,13.86
14.0,174.0,160.0,2879.61,9.0,28.69,veh_passenger,1,0.0,14.97
14.0,175.0,161.0,1766.79,1.0,23.26,veh_passenger,1,0.0,7.94
45.0,177.0,132.0,1468.3,0.0,23.17,veh_passenger,1,0.0,13.85
25.0,179.0,154.0,1478.15,0.0,25.08,veh_passenger,1,0.0,8.05
26.0,182.0,156.0,1639.42,9.0,28.95,veh_passenger,1,0.0,13.49
13.0,185.0,172.0,1536.93,28.0,47.08,veh_passenger,1,0.0,12.13
122.0,186.0,64.0,519.36,0.0,8.35,veh_passenger,1,5.57,8.59
118.0,192.0,74.0,541.87,0.0,7.69,DEFAULT_VEHTYPE,1,0.0,12.45
50.0,208.0,158.0,1207.38,0.0,19.66,veh_passenger,1,0.0,3.04
51.0,208.0,157.0,1854.92,0.0,22.87,veh_passenger,1,0.0,3.95
135.0,208.0,73.0,541.87,0.0,7.86,DEFAULT_VEHTYPE,1,0.0,13.0
12.0,211.0,199.0,1971.33,4.0,29.63,veh_passenger,1,0.0,7.28
19.0,214.0,195.0,1897.14,0.0,20.19,veh_passenger,1,0.0,6.79
57.0,224.0,167.0,1341.68,0.0,18.18,veh_passenger,1,5.19,3.38
151.0,225.0,74.0,780.41,0.0,9.3,veh_passenger,1,0.0,13.92
37.0,226.0,189.0,1851.15,0.0,19.06,veh_passenger,1,12.89,6.64
53.0,227.0,174.0,2248.03,0.0,18.6,veh_passenger,1,0.0,9.49
72.0,229.0,157.0,652.99,82.0,113.3,veh_passenger,1,0.0,10.47
42.0,230.0,188.0,1085.5,36.0,58.89,veh_passenger,1,0.0,6.73
153.0,230.0,77.0,541.87,0.0,8.69,DEFAULT_VEHTYPE,1,0.0,12.33
170.0,233.0,63.0,541.87,0.0,6.43,DEFAULT_VEHTYPE,1,0.0,14.13
63.0,242.0,179.0,1360.87,45.0,70.48,veh_passenger,1,0.0,7.05
73.0,244.0,171.0,1587.22,16.0,37.47,veh_passenger,1,0.0,8.15
28.0,247.0,219.0,2744.35,22.0,62.18,veh_passenger,1,0.0,8.37
13.0,249.0,236.0,3047.52,11.0,50.17,veh_passenger,1,0.0,7.6
187.0,249.0,62.0,451.21,0.0,8.42,veh_passenger,1,0.0,7.6
45.0,255.0,210.0,1591.11,0.0,22.17,veh_passenger,1,0.0,7.37
32.0,258.0,226.0,3052.49,0.0,28.14,veh_passenger,1,0.0,12.12
189.0,259.0,70.0,483.33,0.0,10.05,veh_passenger,1,0.0,6.56
13.0,262.0,249.0,1961.18,17.0,49.95,veh_passenger,1,0.0,7.17
120.0,262.0,142.0,1462.28,13.0,44.41,veh_passenger,1,0.0,9.37
188.0,263.0,75.0,541.87,0.0,7.74,DEFAULT_VEHTYPE,1,0.0,12.6
188.0,264.0,76.0,671.1,0.0,10.16,veh_passenger,1,0.0,8.79
40.0,273.0,233.0,1939.43,0.0,25.62,veh_passenger,1,0.0,3.76
21.0,275.0,254.0,2189.54,33.0,75.53,veh_passenger,1,8.22,11.52
19.0,278.0,259.0,2023.62,28.0,72.19,veh_passenger,1,0.0,4.23
